# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	2699
#@/user_id	6a2163fc-c90b-46e9-84eb-486cc8c8afe8
a 	啊	c=7 d=2.09373 t=2429
shou ming 	壽命	c=3 d=1.01143 t=1827
shu 	數	c=0 d=0.1 t=763
shu 	書	c=3 d=1.51947 t=2264
shu chu 	輸出	c=3 d=2.88924 t=2642
shu ju 	數據	c=8 d=1.67634 t=2275
shu ru 	輸入	c=6 d=5.20838 t=2672
shua 	刷	c=1 d=1 t=1562
shuai ge 	帥哥	c=2 d=1.37908 t=1431
shui 	誰	c=9 d=2.70755 t=2487
shun xu 	順序	c=1 d=1 t=868
shuo 	說	c=6 d=1.25946 t=2668
shuo guo 	說過	c=1 d=1 t=532
shuo ming shu 	說明書	c=3 d=2.88249 t=2409
shuo ming shu shang 	說明書上	c=1 d=1 t=2346
shuo sheng 	說聲	c=1 d=1 t=1678
shuo shi 	說是	c=1 d=1 t=2042
si chou 	絲綢	c=1 d=1 t=2676
si chuan 	四川	c=1 d=1 t=2167
song gei 	送給	c=1 d=1 t=1639
song xi 	宋曦	c=1 d=1 t=1598
suan chu lai 	算出來	c=1 d=1 t=855
sun 	孫	c=1 d=1 t=496
sun jie 	孫杰	c=1 d=1 t=2326
suo 	鎖	c=1 d=1 t=2211
suo yi 	所以	c=1 d=1.00027 t=2477
suo yi shuo 	所以說	c=1 d=1 t=1294
ta 	他	c=5 d=1.51142 t=1993
ta 	她	c=1 d=1 t=2103
ta men 	他們	c=10 d=3.13776 t=2300
ta men 	她們	c=1 d=1 t=2489
ta shu ou 	他數偶	c=1 d=1 t=2041
tai 	太	c=0 d=0.1 t=537
tai chang 	太長	c=1 d=1 t=726
tai ke qi 	太客氣	c=1 d=1 t=538
tang mu xun 	湯姆遜	c=1 d=1 t=2699
tao 	韜	c=1 d=1 t=969
tao ge 	韜哥	c=5 d=2.05953 t=1969
ti gong 	提供	c=3 d=1.85643 t=2620
ti huan 	替換	c=2 d=1.30254 t=1536
ti huan xia 	替換下	c=1 d=1 t=1530
ti ji 	提及	c=1 d=1 t=387
ti sheng 	提升	c=1 d=1 t=2145
tian you 	天佑	c=5 d=1.01638 t=1655
tiao 	調	c=2 d=1.21546 t=937
tiao jie 	調節	c=1 d=1 t=1434
tiao shi 	調試	c=4 d=1.16986 t=2067
tiao su 	調速	c=2 d=1.06721 t=1443
ting 	聽	c=1 d=1 t=530
tong 	童	c=1 d=1 t=2210
tong bu 	同步	c=1 d=1 t=673
tong guo 	通過	c=1 d=1 t=1917
tong ji 	統計	c=1 d=1 t=295
tong shi 	同時	c=1 d=1 t=1437
tong xun 	通訊	c=1 d=1 t=1660
tui chu 	推出	c=1 d=1 t=717
wa 	哇	c=1 d=1 t=1246
wai jie 	外接	c=1 d=1 t=272
wai wang 	外網	c=1 d=1 t=1634
wan 	完	c=0 d=0.1 t=602
wan jie 	完結	c=1 d=1 t=655
wang 	王	c=1 d=1 t=46
wang di 	王迪	c=1 d=1 t=2699
wang jun 	王俊	c=1 d=1 t=364
wang zhan 	網站	c=1 d=1 t=2677
wei 	未	c=1 d=1 t=329
wei le 	爲了	c=3 d=1.78824 t=1340
wei lian 	微聯	c=1 d=1 t=929
wei xian 	危險	c=1 d=1 t=330
wen 	問	c=4 d=1.00165 t=2480
wen 	文	c=3 d=1.58446 t=2479
wen dang 	文檔	c=1 d=1 t=2277
wen du 	溫度	c=1 d=1 t=897
wen jian 	文件	c=3 d=1.00001 t=2691
wen ni 	問你	c=1 d=1 t=2203
wen shi 	溫溼	c=2 d=1.84366 t=2573
wen ta 	問他	c=1 d=1 t=494
wen ti 	問題	c=5 d=1.00898 t=1653
wen tong 	文同	c=1 d=1 t=188
wen wen 	問問	c=2 d=1.85642 t=2415
wen wo 	問我	c=1 d=1 t=2563
wen xia 	問下	c=5 d=1.51527 t=2053
wen yi xia 	問一下	c=1 d=1 t=2456
wo 	我	c=82 d=3.09039 t=2665
wo hui 	我會	c=1 d=1 t=533
wo men 	我們	c=1 d=1 t=1962
wo zhi dao 	我知道	c=1 d=1 t=845
wu liao 	物料	c=3 d=1.47877 t=2534
wu ran 	污染	c=2 d=1.50409 t=1883
wu xie yu 	吳謝宇	c=1 d=1 t=225
xi 	曦	c=1 d=1 t=1513
xi tong 	系統	c=3 d=2.17035 t=304
xi wang 	希望	c=1 d=1 t=382
xia 	下	c=10 d=2.34667 t=2570
xia ge yue 	下個月	c=1 d=1 t=596
xia lai 	下來	c=2 d=1.00985 t=2246
xia wu 	下午	c=3 d=1.07847 t=1556
xia zai 	下載	c=3 d=2.47422 t=2436
xia zhou 	下週	c=1 d=1.09501 t=2547
xia zhou ba 	下週吧	c=1 d=1 t=2548
xian 	先	c=5 d=1.72352 t=2064
xian 	線	c=1 d=1 t=1406
xian gei ni 	先給你	c=1 d=1 t=87
xian qian 	先前	c=1 d=1 t=1720
xian shang 	線上	c=2 d=1.93239 t=1495
xian shi 	顯示	c=4 d=1.28871 t=2541
xian zai 	現在	c=32 d=3.40698 t=2514
xiang 	想	c=4 d=2.87982 t=2149
xiang 	項	c=1 d=1 t=584
xiang guan 	相關	c=2 d=1.81873 t=417
xiang mu 	項目	c=4 d=0.101706 t=2093
xiang wen 	想問	c=0 d=0.1 t=971
xiang wen xia 	想問下	c=1 d=1 t=972
xiao 	小	c=0 d=0.1 t=2082
xiao de 	曉得	c=0 d=0.1 t=513
xiao de la 	曉得啦	c=1 d=1 t=514
xiao huo zi 	小夥子	c=0 d=0.1 t=518
xiao shi 	小時	c=1 d=1.09704 t=769
xiao shi shu 	小時數	c=1 d=1 t=764
xiao yuan gong 	小員工	c=1 d=1 t=2083
xie cheng 	寫成	c=1 d=1 t=780
xie de 	寫的	c=1 d=1 t=1262
xie le 	寫了	c=1 d=1 t=1344
xie ru 	寫入	c=3 d=1.05688 t=1554
xie xie 	謝謝	c=1 d=1 t=2190
xie yi 	協議	c=5 d=2.3159 t=1954
xin 	新	c=3 d=1.58674 t=2530
xin 	欣	c=5 d=2.57163 t=2529
xin ban ben 	新版本	c=1 d=1 t=1303
xin da ban 	新打版	c=1 d=1 t=10
xin de 	新的	c=1 d=1 t=2304
xin feng 	新風	c=3 d=1.00003 t=2524
xin pin 	新品	c=1 d=1 t=300
xin xi 	信息	c=5 d=3.42202 t=1893
xin xiao huo zi 	新小夥子	c=1 d=1 t=519
xin ye wu 	新業務	c=1 d=1 t=2097
xing 	行	c=1 d=1 t=2066
xu 	序	c=0 d=0.1 t=1650
xu 	需	c=1 d=1 t=294
xu qiu 	需求	c=1 d=1 t=175
xu yao 	需要	c=10 d=1.70043 t=1743
xue xi 	學習	c=1 d=1 t=2337
yan ge 	嚴格	c=1 d=1 t=63
yang chong 	楊衝	c=3 d=0.995012 t=2699
yang lin 	楊林	c=1 d=1 t=1579
yang zi 	樣子	c=1 d=1 t=771
yao 	要	c=22 d=1.9164 t=2648
yao bu 	要不	c=1 d=1 t=2020
yao bu ran 	要不然	c=1 d=1 t=1538
yao bu yao 	要不要	c=1 d=1 t=1880
yao qing 	邀請	c=1 d=1 t=1464
yao shang 	要上	c=1 d=1 t=430
yao you 	要有	c=1 d=1 t=1804
yao zhao 	要找	c=1 d=1 t=559
ye 	也	c=10 d=1.05217 t=2625
ye de 	也得	c=1 d=1 t=595
ye shi 	也是	c=2 d=1.0256 t=2643
ye wu 	業務	c=0 d=0.1 t=2096
ye yao 	也要	c=1 d=1 t=2425
ye zai 	也在	c=1 d=1 t=505
yi 	一	c=1 d=1 t=161
yi 	已	c=2 d=1.50409 t=1023
yi er 	一二	c=0 d=0.1 t=1787
yi er ji 	一二級	c=1 d=1 t=1788
yi ge 	一個	c=10 d=1.18109 t=2523
yi gei 	泄給	c=1 d=1 t=160
yi hou 	以後	c=1 d=1 t=2160
yi huang 	一晃	c=1 d=1 t=2121
yi hui er 	一會兒	c=5 d=1.00016 t=2556
yi jiao 	移交	c=1 d=1 t=912
yi jing 	已經	c=2 d=1.00432 t=1672
yi kuai 	一塊	c=2 d=1.98511 t=2502
yi qi 	一期	c=2 d=1.00072 t=2030
yi qi 	一起	c=1 d=1 t=2377
yi ran 	亦然	c=1 d=1 t=316
yi si 	意思	c=3 d=1.01331 t=2585
yi tang 	一趟	c=2 d=1.39259 t=1728
yi tao 	一套	c=1 d=1 t=619
yi ti ji 	一體機	c=1 d=1 t=80
yi tian 	一天	c=1 d=1 t=1545
yi tiao 	一條	c=1 d=1 t=1449
yi wen 	疑問	c=1 d=1 t=511
yi xia 	一下	c=7 d=1.01865 t=2427
yi xia bu 	一下不	c=1 d=1 t=2007
yi xian 	一線	c=1 d=1 t=2082
yi yang 	一樣	c=4 d=0.141716 t=2576
yi zhi 	一直	c=4 d=1.263 t=1615
yin wei 	因爲	c=5 d=1.9946 t=2467
ying gai 	應該	c=2 d=1.07317 t=1860
ying jian 	硬件	c=2 d=1.21981 t=947
ying pan 	硬盤	c=1 d=1 t=273
yong 	用	c=2 d=1.07654 t=1601
yong hu 	用戶	c=2 d=1.90937 t=1295
you 	有	c=14 d=1.35539 t=2634
you 	由	c=1 d=1 t=373
you dian 	有點	c=2 d=1.04264 t=1058
you ge 	有個	c=4 d=1.36153 t=1873
you gen 	有跟	c=1 d=1 t=1193
you jian 	郵件	c=1 d=1 t=386
you mei 	又沒	c=0 d=0.1 t=1166
you mei you 	又沒有	c=1 d=1 t=1167
you po 	油潑	c=1 d=1 t=2236
you ren 	有人	c=1 d=1 t=983
you shen me 	有什麼	c=1 d=1 t=499
you wu 	有無	c=1 d=1 t=2172
you xiao 	有效	c=1 d=1 t=327
you you 	又有	c=1 d=1 t=1302
you yu 	由於	c=1 d=1 t=365
you zai 	又在	c=0 d=0.1 t=2092
you zai na 	又在哪	c=1 d=1 t=2093
yu 	與	c=1 d=1 t=301
yu 	餘	c=1 d=1 t=1412
yu wo 	於我	c=1 d=1 t=380
yuan ban 	原版	c=1 d=1 t=2631
yuan gong 	員工	c=0 d=0.1 t=2082
yuan lai 	原來	c=2 d=1.04665 t=1952
yuan xing 	原型	c=1 d=1 t=406
yuan yi 	園藝	c=1 d=1 t=1002
yue 	岳	c=2 d=1.08483 t=678
yue 	月	c=1 d=1 t=679
yue gao qiang 	岳高強	c=3 d=1.73585 t=343
yue ke 	約克	c=1 d=1 t=626
yun bu 	雲部	c=6 d=1.01581 t=1957
yun duan 	雲端	c=2 d=1.00057 t=2054
zai 	再	c=10 d=3.66791 t=2144
zai 	在	c=24 d=4.10649 t=2658
zai bu 	再不	c=1 d=1 t=1238
zai bu 	在不	c=3 d=1.05064 t=2272
zai ha 	在哈	c=1 d=1 t=545
zai shuo 	再說	c=1 d=1 t=927
zai wen 	再問	c=1 d=1 t=2490
zan shi 	暫時	c=5 d=1.14602 t=2497
zao shang 	早上	c=1 d=1 t=692
zao yu 	遭遇	c=1 d=1 t=390
zen me 	怎麼	c=7 d=1.51919 t=2396
zen me nong 	怎麼弄	c=1 d=1 t=259
zhan kong 	佔空	c=1 d=1 t=1584
zhang hao 	帳號	c=2 d=1.97045 t=942
zhao 	找	c=2 d=1.86502 t=156
zhao ni 	找你	c=1 d=1 t=435
zhao pian 	照片	c=2 d=1.00425 t=2188
zhe 	這	c=6 d=1.11421 t=2296
zhe bian 	這邊	c=2 d=1.96079 t=660
zhe ge 	這個	c=34 d=2.94359 t=2549
zhe kuai 	這塊	c=3 d=1.09356 t=2010
zhe liang tian 	這兩天	c=2 d=1.49659 t=182
zhe me 	這麼	c=2 d=1.24783 t=341
zhe qi 	這期	c=3 d=2.04765 t=202
zhe xie 	這些	c=2 d=1.00001 t=2576
zhe yang 	這樣	c=7 d=0.121813 t=2616
zhen lie 	陣列	c=1 d=1 t=2261
zheng 	正	c=1 d=1 t=419
zheng ge 	整個	c=1 d=1 t=521
zheng ji 	整機	c=3 d=2.05933 t=1049
zheng que 	正確	c=1 d=1 t=2434
zheng shi 	正式	c=1 d=1 t=1487
zheng ti 	整體	c=1 d=1 t=100
zheng zai 	正在	c=2 d=1.00005 t=2400
zhi 	值	c=3 d=1.88085 t=1956
zhi 	只	c=2 d=0.185005 t=1687
zhi dao 	知道	c=2 d=1.00193 t=2458
zhi guan xin 	只關心	c=1 d=1 t=1688
zhi hou 	之後	c=1 d=1 t=2592
zhi hui 	只會	c=2 d=1.97045 t=1447
zhi jie 	直接	c=3 d=1.18856 t=2312
zhi lian 	直連	c=1 d=1 t=941
zhi liang 	質量	c=2 d=1.90937 t=131
zhi ling 	指令	c=1 d=1 t=710
zhi neng 	只能	c=3 d=1.00754 t=2141
zhi neng 	智能	c=4 d=1.18415 t=2267
zhi qian 	之前	c=3 d=1.0869 t=2255
zhi shi 	只是	c=1 d=1 t=1990
zhi xu yao 	只需要	c=2 d=1.15335 t=2205
zhi you 	只有	c=17 d=3.64517 t=2522
zhi zhi dao 	只知道	c=1 d=1 t=2015
zhong duan 	中斷	c=2 d=1.0696 t=949
zhu 	朱	c=4 d=1.85136 t=2207
zhu ce 	註冊	c=2 d=1.99005 t=2680
zhu yao 	主要	c=2 d=1.27943 t=515
zhu yi 	注意	c=1 d=1 t=317
zhuan fa 	轉發	c=2 d=1.66365 t=2061
zhuan xin 	專心	c=1 d=1 t=2157
zhuang tai 	狀態	c=2 d=1.84366 t=1747
zhun bei 	準備	c=3 d=2.75208 t=2158
zi 	子	c=2 d=1.51944 t=2474
zi dong 	自動	c=1 d=1 t=1432
zi ji 	自己	c=11 d=2.81528 t=2655
zi jie 	字節	c=0 d=0.1 t=1650
zi jie xu 	字節序	c=1 d=1 t=1651
zi liao 	資料	c=3 d=2.43488 t=223
zi shu 	字數	c=1 d=0.985112 t=2699
zong guan 	綜管	c=1 d=1 t=254
zong ti 	總體	c=1 d=1 t=2492
zu he 	組合	c=2 d=1.9802 t=1593
zui 	最	c=0 d=0.100852 t=2495
zui fang bian 	最方便	c=1 d=1 t=1543
zui hao 	最好	c=1 d=1 t=2482
zui jin 	最近	c=5 d=1.00074 t=2092
zui qing chu 	最清楚	c=1 d=1 t=2496
zui xin 	最新	c=3 d=2.05591 t=1389
zuo 	做	c=1 d=1.02322 t=2385
zuo bu le 	做不了	c=1 d=1 t=82
zuo dao 	做到	c=0 d=0.1 t=2407
zuo de 	做的	c=1 d=1 t=2488
zuo guo 	做過	c=1 d=1 t=1684
zuo jin 	左近	c=1 d=1 t=2091
zuo tian 	昨天	c=1 d=1 t=1512
zuo wan 	做完	c=1 d=1 t=664
zuo wei 	作爲	c=1 d=1 t=2081
zuo xiang mu 	做項目	c=1 d=1 t=2094
zuo you 	左右	c=1 d=1.02242 t=318
zuo you shang lai 	左右上來	c=1 d=1 t=20
